frame_index,pixel_difference_sum
1,0
2,7483003
3,0
4,7472367
5,0
6,7475630
7,0
8,7482873
9,0
10,7483282
11,0
12,7484536
13,0
14,7472792
15,0
16,7470390
17,0
18,7479806
19,0
20,7481624
21,0
22,7471424
23,0
24,7477212
25,0
26,7469965
27,0
28,7466009
29,0
30,7475746
31,0
32,7469332
33,0
34,7488426
35,0
36,7484632
37,0
38,7483724
39,0
40,7470001
41,0
42,7476727
43,0
44,7478916
45,0
46,7480511
47,0
48,7478448
49,0
50,7486850
51,0
52,7493407
53,0
54,7475542
55,0
56,7475635
57,0
58,7473510
59,0
60,7480393
61,0
62,7478247
63,0
64,7491038
65,0
66,7499338
67,0
68,7468034
69,0
70,7473595
71,0
72,7480572
73,0
74,7466458
75,0
76,7464894
77,0
78,7466021
79,0
80,7476474
81,0
82,7477510
83,0
84,7481682
85,0
86,7479154
87,0
88,7476107
89,0
90,7476302
91,0
92,7486218
93,0
94,7490811
95,0
96,7492219
97,0
98,7478343
99,0
100,7477739
101,0
102,7479927
103,0
104,7476104
105,0
106,7483585
107,0
108,7492361
109,0
110,7491693
111,0
112,7475960
113,0
114,7477326
115,0
116,7461369
117,0
118,7486060
119,0
120,7477779
121,0
122,7481130
123,0
124,7492524
125,0
126,7488123
127,0
128,7488605
129,0
130,7486822
131,0
132,7490095
133,0
134,7475282
135,0
136,7480708
137,0
138,7469562
139,0
140,7476329
141,0
142,7494854
143,0
144,7500416
145,0
146,7485155
147,0
148,7479127
149,0
150,7470449
151,0
152,7486539
153,0
154,7478919
155,0
156,7471301
157,0
158,7473533
159,0
160,7473857
161,0
162,7469628
163,0
164,7487630
165,0
166,7479891
167,0
168,7487128
169,0
170,7495099
171,0
172,7476632
173,0
174,7486210
175,0
176,7474071
177,0
178,7480572
179,0
180,7486195
181,0
182,7480729
183,0
184,7483694
185,0
186,7488627
187,0
188,7488400
189,0
190,7487619
191,0
192,7483227
193,0
194,7489327
195,0
196,7495192
197,0
198,7464237
199,0
200,7494677
201,0
202,7483134
203,0
204,7475962
205,0
206,7472675
207,0
208,7490707
209,0
210,7491165
211,0
212,7478078
213,0
214,7472348
215,0
216,7492909
217,0
218,7489583
219,0
220,7480607
221,0
222,7480564
223,0
224,7463059
225,0
226,7472426
227,0
228,7480828
229,0
230,7494000
231,0
232,7481663
233,0
234,7490211
235,0
236,7481190
237,0
238,7498766
239,0
240,7505506
241,0
242,7473436
243,0
244,7475950
245,0
246,7491554
247,0
248,7485209
249,0
250,7488501
251,0
252,7477767
253,0
254,7472390
255,0
256,7466455
257,0
258,7476181
259,0
260,7482539
261,0
262,7478770
263,0
264,7464711
265,0
266,7467293
267,0
268,7487294
269,0
270,7476321
271,0
272,7470471
273,0
274,7480630
275,0
276,7484714
277,0
278,7473657
279,0
280,7467912
281,0
282,7476864
283,0
284,7471197
285,0
286,7474182
287,0
288,7486734
289,0
290,7492491
291,0
292,7483096
293,0
294,7477282
295,0
296,7473147
297,0
298,7472308
299,0
